"created_at","id_str","text","retweet_count","favorite_count"
"Mon Nov 09 16:08:18 +0000 2015","663749966402338816","#ArtificialIntelligence: Homo sapiens will be split into a handful of gods and the rest of us https://t.co/Ecdz7jM2o7 via @guardian",20,7
"Tue Jan 19 23:54:08 +0000 2016","689596736323620865","Emotional Intelligence Is the Key to Smarter Gadgets https://t.co/Z1CUxf9Bn8 via @singularityhub https://t.co/jw972BKahn",19,16
"Tue Nov 10 19:27:11 +0000 2015","664162406785003521","The future of health is incredible compared to what we have today, says #xmed faculty @JamieMetzl https://t.co/yfZJQSDSC4",19,19
"Sat Oct 24 20:31:03 +0000 2015","658017885147766784","How to use technology to connect humans &amp; their environment with #GSP15-er @anacbenatuil https://t.co/ZGCW7SNOkn https://t.co/OTXaatcvuJ",19,25
"Tue Oct 20 18:01:11 +0000 2015","656530615588790272","Singularity University &amp; the future of exponential change https://t.co/ADCOTGZa4F https://t.co/Ibgd2FM80V",19,17
"Mon Feb 29 20:10:25 +0000 2016","704398337026478081","Announcing our first Exponential Regional Partnership with @SingularityUNL! https://t.co/yVuvUMcx1q",18,22
"Fri Feb 19 02:10:16 +0000 2016","700502629596717056","Applications for our @su_labs startup accelerator are due tomorrow, February 19th by midnight PST! https://t.co/t2Ncu4mGwp",18,10
"Mon Feb 15 22:07:16 +0000 2016","699354312397426688","5 Startups to Watch From Our 2015 Global Solutions Program, now on Medium! https://t.co/nQVBmAafjO #GSP15 @Aipoly_ @TheIrisAI @AIMEforLife",18,10
"Fri Dec 04 17:02:20 +0000 2015","672823262741733381","How Would Today’s Smartest Teens Overhaul Education? We Asked Them https://t.co/g88GZpHtug via @singularityhub https://t.co/LgRbBCpHF2",18,19
"Mon Nov 30 18:11:15 +0000 2015","671391053577117696","New startup aims to transfer people's consciousness into artificial bodies so they can live forever https://t.co/R6VhdfQxLH",18,22
"Tue Nov 24 16:28:08 +0000 2015","669190773523484672","True story: @FortuneMagazine named @salimismail's Exponential Organizations one of the 5 best books of 2015! <f0><U+009F><U+0099><U+008C> https://t.co/fvUtRC2ppV",18,22
"Wed Nov 11 18:54:48 +0000 2015","664516642345500672","Our @ExponentialMed participants are flying around via #VR in the Innovation Lab, as one does at a conference. #xmed https://t.co/kjDMT2nai5",18,20
"Wed Sep 30 22:54:12 +0000 2015","649356599497240576","Self-driving cars could reduce accidents by 90%, become greatest health achievement of century http://t.co/yLAMaECdUp As @bradtem oft says",18,12
"Fri Jan 08 04:24:54 +0000 2016","685316221819031553",".@Snowden Appears at #CES Via Telepresence with SU cofounder @PeterDiamandis https://t.co/CVljfhT14P via @washingtonpost",17,12
"Sun Jan 03 21:57:00 +0000 2016","683769053173907456","Technologies We’re Excited to See Bloom in 2016 &amp; Beyond https://t.co/eYbe4N1Qql via @singularityhub",17,22
